OrgId,StoryId,PageNo,PageId,PageTitle,EditionId,EditionDate,MShareArticle,MIndexBase
162455962df,3922240,8,497985,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162455962df&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497985&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162a70094ad,3922141,11,497973,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162a70094ad&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497973&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162d3b63429,3922142,11,497973,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162d3b63429&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497973&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162212d73d5,3922144,11,497973,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162212d73d5&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497973&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
16267d84ac2,3922145,11,497973,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=16267d84ac2&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497973&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
16246d15fda,3922146,11,497973,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=16246d15fda&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497973&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162e8f22051,3922147,12,497974,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162e8f22051&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497974&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162aff28f40,3922148,12,497974,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162aff28f40&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497974&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162f51996ee,3922149,12,497974,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162f51996ee&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497974&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
16274519af8,3922150,12,497974,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=16274519af8&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497974&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
1629a6639dc,3922151,12,497974,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=1629a6639dc&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497974&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162da827d70,3922152,12,497974,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162da827d70&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497974&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
